aktinium;Ac
americium;Am
amid barnatý;Ba(NH2)2
amid cesný;CsNH2
amid draselný;KNH2
amid rubidný;RbNH2
amid sodný;NaNH2
amid zinečnatý;Zn(NH2)2
amoniak;NH3
antimon;Sb
antimoničnan barnatý;Ba(SbO3)2
trioxoantimoničnan barnatý;
bis(antimoničnan) barnatý;
antimoničnan olovnatý;Pb(SbO3)2
trioxoantimoničnan olovnatý;
bis(antimoničnan) olovnatý;
antimonid gallitý;GaSb
antimonid inditý;InSb
antimonid sodný;Na3Sb
antimonid triniobu;Nb3Sb
argon;Ar
arsan;AsH3
arsin;
arsenovodík;
arsen;As
arseničnan bismutitý;BiAsO4
tetraoxoarseničnan bismutitý;
arseničnan boritý;BAsO4
tetraoxoarseničnan boritý;
arseničnan olovnatý;Pb(AsO3)2
trioxoarseničnan olovnatý;
bis(arseničnan) olovnatý;
arseničnan tribarnatý;Ba3(AsO4)2
tetraoxoarseničnan barnatý;
tetraoxoarseničnan tribarnatý;
bis(arseničnan) tribarnatý;
arseničnan tridraselný;K3AsO4
tetraoxoarseničnan draselný;
tetraoxoarseničnan tridraselný;
arseničnan trikobaltnatý;Co3(AsO4)2
tetraoxoarseničnan kobaltnatý;
tetraoxoarseničnan trikobaltnatý;
bis(arseničnan) trikobaltnatý;
arseničnan triměďnatý;Cu3(AsO4)2
tetraoxoarseničnan měďnatý;
tetraoxoarseničnan triměďnatý;
bis(arseničnan) triměďnatý;
arseničnan triolovnatý;Pb3(AsO4)2
tetraoxoarseničnan olovnatý;
tetraoxoarseničnan triolovnatý;
bis(arseničnan) triolovnatý;
arseničnan trisodný;Na3AsO4
tetraoxoarseničnan sodný;
tetraoxoarseničnan trisodný;
arseničnan tristříbrný;Ag3AsO4
tetraoxoarseničnan stříbrný;
tetraoxoarseničnan tristříbrný;
arseničnan trivápenatý;Ca3(AsO4)2
tetraoxoarseničnan vápenatý;
tetraoxoarseničnan trivápenatý;
bis(arseničnan) trivápenatý;
arseničnan železitý;FeAsO4
tetraoxoarseničnan železitý;
arsenid dikobaltu;Co2As
arsenid dimanganu;Mn2As
arsenid gallitý;GaAs
arsenid hořečnatý;Mg3As2
arsenid chromu;CrAs
arsenid kademnatý;Cd3As2
arsenid kobaltu;CoAs
arsenid manganu;MnAs
arsenid niklu;NiAs
arsenid niobu;NbAs
arsenid sodný;Na3As
arsenid trimědi;Cu3As
arsenid vápenatý;Ca3As2
arsenitan tridraselný;K3AsO3
trioxoarsenitan draselný;
trioxoarsenitan tridraselný;
arsenitan tristříbrný;Ag3AsO3
trioxoarsenitan stříbrný;
trioxoarsenitan tristříbrný;
astat;At
azid amonný;NH4N3
azid cesný;CsN3
azid draselný;KN3
azid kademnatý;Cd(N3)2
azid měďnatý;Cu(N3)2
azid měďný;CuN3
